Character,Dialogue,Setting,Season,Episode,Act,ImdbRating,Opening
Wayne,A couple of hockey players come up to the produce stand the other day,Field,1,1,1,8.3,YES
Action,(REILLY AND JONESY PULL UP IN JEEP),ProduceStand,1,1,1,8.3,
Katy,Bye,ProduceStand,1,1,1,8.3,
Daryl,Can't believe your sister's still dating these nut sacks,ProduceStand,1,1,1,8.3,
Katy,Wayne?,ProduceStand,1,1,1,8.3,
Wayne,How are you now?,ProduceStand,1,1,1,8.3,
Katy,Good. And you?,ProduceStand,1,1,1,8.3,
Wayne,Not so bad.,ProduceStand,1,1,1,8.3,
Daryl,"Hi, Katy",ProduceStand,1,1,1,8.3,
Katy,"Go home, Daryl.",ProduceStand,1,1,1,8.3,
Reilly,"Nice onesie, does it come in men's?",ProduceStand,1,1,1,8.3,
Wayne,"Oh, I think you cum in men enough for all of us",ProduceStand,1,1,1,8.3,
Reilly,"I think you better cum in my … I mean, you better cum ...",ProduceStand,1,1,1,8.3,
Jonesy,"I think you better come say that to his face, you fucking hicks!",ProduceStand,1,1,1,8.3,
Daryl,Nice execution,ProduceStand,1,1,1,8.3,
Wayne,You're doin' terrific,ProduceStand,1,1,1,8.3,
Jonesy,Hey I heard about your breakup buddy,ProduceStand,1,1,1,8.3,
Reilly,"She was your sweetie for five years, right?",ProduceStand,1,1,1,8.3,
Jonesy,"Your high school sweetie, right?",ProduceStand,1,1,1,8.3,
Wayne,What's it to ya?,ProduceStand,1,1,1,8.3,
Jonesy,"Heard she cheated on you, buddy.",ProduceStand,1,1,1,8.3,
Reilly,"That's a real kick in the knackers, bro.",ProduceStand,1,1,1,8.3,
Jonesy,"Just a real ouchie, bro",ProduceStand,1,1,1,8.3,
Reilly,"It's too bad she taught you not to fight anymore, buddy",ProduceStand,1,1,1,8.3,
Jonesy,"Cause that's a fight on sight for you and her new guy, buddy",ProduceStand,1,1,1,8.3,
Reilly,"Fourth line for life, bro",ProduceStand,1,1,1,8.3,
Wayne,"Maybe if you'd ever been in a real fight, you might not be so keen for another",ProduceStand,1,1,1,8.3,
Reilly,What did you say?,ProduceStand,1,1,1,8.3,
Wayne,You heard me,ProduceStand,1,1,1,8.3,
Reilly,"Hold my spitter. Darts off, boys. You looking for a tilly buddy? Let's have a donnybrook",ProduceStand,1,1,1,8.3,
Daryl,Pump the breaks. You take your shirt off but leave your sunglasses on? ,ProduceStand,1,1,1,8.3,
Wayne,What sort of backwards fuckin' pageantry is that?,ProduceStand,1,1,1,8.3,
Daryl,Do you want to fight with those shades or play pokerstars.com?,ProduceStand,1,1,1,8.3,
Jonesy,Hold my spitter.,ProduceStand,1,1,1,8.3,
